17639;gabcikovo;Gabcikovo;164;Slovakia;club
-71;gabon;Gabon;71;Gabon;selection
11491;gabela;Gabela;26;Bosnia and Herzegovina;club
5929;gabon-u17;Gabon U-17;0;;club
23303;gabon-u19-w;Gabon U-19 W;0;;club
12794;gabon-u23;Gabon U-23;0;;club
24483;gabon-w;Gabon W;0;;club
24476;gaborone-utd;Gaborone Utd;27;Botswana;club
23499;gac-olawa;Gac Olawa;147;Poland;club
17809;gafanha;Gafanha;148;Portugal;club
9270;gagauziya;Gagauziya;124;Moldova;club
6346;gafsa;Gafsa;187;Tunisia;club
6818;gagra;Gagra;73;Georgia;club
7477;gainare-tottori;Gainare Tottori;96;Japan;club
1787;gainsborough;Gainsborough;60;England;club
1482;gais;GAIS;177;Sweden;club
23642;galanta;Galanta;164;Slovakia;club
12347;gala-fairydean;Gala Fairydean;159;Scotland;club
6733;gabala;Gabala;14;Azerbaijan;club
16086;galatasaray-u21;Galatasaray U-21;188;Turkey;club
13743;galatasaray-u19;Galatasaray U-19;0;;club
14016;galicia;Galicia;28;Brasil;club
19117;gallivare-malmbergets;Gallivare Malmbergets;177;Sweden;club
17065;galvez-ec;Galvez EC;28;Brasil;club
22493;gabala-u19;Gabala U-19;0;;club
2632;galway;Galway;92;Ireland;club
435;gama;Gama;28;Brasil;club
1520;gamba-osaka;Gamba Osaka;96;Japan;club
-72;gambia;Gambia;72;;selection
15904;gamla-upsala;Gamla Upsala;177;Sweden;club
12950;gandzasar2;Gandzasar-2;10;Armenia;club
6114;gandzasarkapan;Gandzasar-Kapan;10;Armenia;club
6568;gangwon-fc;Gangwon FC;101;Korea Republic;club
23012;gangneung;Gangneung;101;Korea Republic;club
15747;garbarnia;Garbarnia;147;Poland;club
14094;garching;Garching;74;Germany;club
19062;garden-city-u19;Garden City U-19;0;;club
22396;gardabani;Gardabani;73;Georgia;club
23014;gareji;Gareji;73;Georgia;club
20354;gares;Gares;169;Spain;club
19594;garliava;Garliava;111;Lithuania;club
25058;gasogi-united;Gasogi United;153;Rwanda;club
2677;gateshead;Gateshead;60;England;club
22931;gaucho;Gaucho;28;Brasil;club
17279;gauthiod;Gauthiod;177;Sweden;club
6803;gava;Gava;169;Spain;club
20202;gavorrano;Gavorrano;94;Italy;club
6594;gaz-metan-medias;Gaz Metan Medias;151;Romania;club
331;gaziantepspor;Gaziantepspor;188;Turkey;club
1841;gazelec-ajaccio;Gazelec Ajaccio;69;France;club
16087;gaziantepspor-u21;Gaziantepspor U-21;188;Turkey;club
2951;gaziosmanpasaspor;Gaziosmanpasaspor;188;Turkey;club
2563;gbk;GBK;68;Finland;club
19113;gbk-w;GBK W;68;Finland;club
20013;gebenbach;Gebenbach;74;Germany;club
2959;gebzespor;Gebzespor;188;Turkey;club
16613;gederlaki-kse;Gederlaki KSE;86;Hungary;club
18859;geelong-warriors-u20;Geelong Warriors U-20;12;Australia;club
18343;gc-mascara;GC Mascara;3;Algeria;club
983;gefle;Gefle;177;Sweden;club
24395;gelbison;Gelbison;94;Italy;club
18429;geestemunde;Geestemunde;74;Germany;club
7776;gemert;Gemert;132;Netherlands;club
393;genclerbirligi;Genclerbirligi;188;Turkey;club
16088;genclerbirligi-u21;Genclerbirligi U-21;188;Turkey;club
9663;genemuiden;Genemuiden;132;Netherlands;club
10685;general-caballero;General Caballero;145;Paraguay;club
24087;general-caballero-jlm;General Caballero JLM;145;Paraguay;club
21639;general-velasquez;General Velasquez;40;Chile;club
9266;gabes;Gabes;187;Tunisia;club
13496;generali-diaz;Generali Diaz;145;Paraguay;club
24879;generation-foot;Generation Foot;0;;club
548;genk;Genk;20;Belgium;club
15978;genk-u21;Genk U-21;20;Belgium;club
22041;general-lamadrid;General Lamadrid;9;Argentina;club
19347;genk-w;Genk W;20;Belgium;club
24906;genk-u19;Genk U-19;0;;club
16498;genoa-u19;Genoa U-19;94;Italy;club
549;gent;Gent;20;Belgium;club
15979;gent-u21;Gent U-21;20;Belgium;club
16547;gent-u19;Gent U-19;0;;club
1604;geel;Geel;20;Belgium;club
17043;genus;Genus;28;Brasil;club
24554;george-telegrapher;George Telegrapher;88;India;club
-73;georgia;Georgia;73;Georgia;selection
17083;georgia-u16;Georgia U-16;73;Georgia;selection
5927;georgia-u17;Georgia U-17;73;Georgia;selection
20842;georgia-u17-w;Georgia U-17 W;73;Georgia;selection
524;genoa;Genoa;94;Italy;club
4927;georgia-u19;Georgia U-19;73;Georgia;selection
20566;georgia-u19-w;Georgia U-19 W;73;Georgia;selection
3927;georgia-u21;Georgia U-21;73;Georgia;selection
21619;georgia-u20;Georgia U-20;0;;club
16557;georgia-w;Georgia W;73;Georgia;selection
17215;germania-egestorf;Germania Egestorf;74;Germany;club
18199;gerena;Gerena;169;Spain;club
21852;germania-friedrichstal;Germania Friedrichstal;74;Germany;club
7473;germania-leer;Germania Leer;0;;club
11476;germania-halberstadt;Germania Halberstadt;74;Germany;club
18506;germania-ratingen;Germania Ratingen;74;Germany;club
7320;germania-windeck;Germania Windeck;74;Germany;club
1956;germania-schoneiche;Germania Schoneiche;74;Germany;club
-74;germany;Germany;74;Germany;selection
20686;germany-u16-w;Germany U-16 W;74;Germany;selection
14908;georgia-u18;Georgia U-18;73;Georgia;selection
5926;germany-u17;Germany U-17;74;Germany;selection
14659;germany-u18;Germany U-18;74;Germany;selection
15012;germany-u17-w;Germany U-17 W;74;Germany;selection
19346;gent-w;Gent W;20;Belgium;club
15002;germany-u19-w;Germany U-19 W;74;Germany;selection
7749;germany-u20;Germany U-20;74;Germany;selection
9304;germany-u20-w;Germany U-20 W;0;;club
3926;germany-u21;Germany U-21;74;Germany;selection
17169;germany-u23;Germany U-23;74;Germany;selection
6622;germany-w;Germany W;74;Germany;selection
15723;gernika;Gernika;169;Spain;club
1126;getafe;Getafe;169;Spain;club
18116;getxo;Getxo;169;Spain;club
12175;getafe2;Getafe-2;169;Spain;club
2570;geylang;Geylang;163;Singapore;club
19258;gg;GG;87;Iceland;club
18620;ghajnsielem;Ghajnsielem;119;Malta;club
-75;ghana;Ghana;75;;selection
5925;ghana-u17;Ghana U-17;0;;club
22693;ghana-u17-w;Ghana U-17 W;0;;club
7750;ghana-u20;Ghana U-20;0;;club
9302;ghana-u20-w;Ghana U-20 W;0;;club
3925;ghana-u21;Ghana U-21;0;;club
24733;ghana-u23;Ghana U-23;0;;club
21228;ghana-w;Ghana W;0;;club
18748;gharghur;Gharghur;119;Malta;club
6166;ghazl-al-mehalla;Ghazl Al Mehalla;58;Egypt;club
24448;ghiroda;Ghiroda;151;Romania;club
24295;ghivizzano-borgo-a-mozzano;Ghivizzano Borgo a Mozzano;94;Italy;club
1165;giannina;Giannina;76;Greece;club
14275;giana-erminio;GIANA Erminio;94;Italy;club
19056;giannina-u19;Giannina U-19;0;;club
18558;giannina-u20;Giannina U-20;76;Greece;club
18940;giblartar-phoenix;Giblartar Phoenix;225;Gibraltar;club
13784;gibraltar;Gibraltar;225;Gibraltar;selection
17058;gibraltar-u16;Gibraltar U-16;225;Gibraltar;selection
13781;gibraltar-u17;Gibraltar U-17;225;Gibraltar;selection
13782;gibraltar-u19;Gibraltar U-19;225;Gibraltar;selection
18668;gibraltar-united;Gibraltar United;225;Gibraltar;club
13783;gibraltar-u21;Gibraltar U-21;225;Gibraltar;selection
25059;gicumbi;Gicumbi;153;Rwanda;club
21812;gievenbeck;Gievenbeck;74;Germany;club
21797;giesen;Giesen;74;Germany;club
18446;gifhorn;Gifhorn;74;Germany;club
6540;gifu;Gifu;96;Japan;club
20329;gijon-industrial;Gijon Industrial;169;Spain;club
251;gil-vicente;Gil Vicente;148;Portugal;club
7927;gilleleje;Gilleleje;53;Denmark;club
459;gillingham;Gillingham;60;England;club
24475;gilport-lions;Gilport Lions;27;Botswana;club
24456;gilortul;Gilortul;151;Romania;club
22040;gimhae;Gimhae;101;Korea Republic;club
24632;gimnasia-concepcion;Gimnasia Concepcion;9;Argentina;club
2318;gimnasia-jujuy;Gimnasia Jujuy;9;Argentina;club
411;gimnasia-la-plata;Gimnasia La Plata;9;Argentina;club
14784;gimnasia-mendoza;Gimnasia Mendoza;9;Argentina;club
17105;gimnasia-y-tiro;Gimnasia y Tiro;9;Argentina;club
1813;gimnastic;Gimnastic;169;Spain;club
2049;gimnastica-segoviana;Gimnastica Segoviana;169;Spain;club
23075;gimpo-citizen;Gimpo Citizen;101;Korea Republic;club
20151;ginsheim;Ginsheim;74;Germany;club
23954;ginasio-figueirense;Ginasio Figueirense;148;Portugal;club
16043;gintrauniversitetas-w;Gintra-Universitetas W;0;;club
8832;giravanz-kitakyushu;Giravanz Kitakyushu;96;Japan;club
2407;giresunspor;Giresunspor;188;Turkey;club
21914;giresunspor-u21;Giresunspor U-21;188;Turkey;club
2045;girona;Girona;169;Spain;club
16414;girvan;Girvan;159;Scotland;club
16100;giti-pasand;Giti Pasand;90;Iran;club
2542;giugliano;Giugliano;94;Italy;club
23044;gjellerasen;Gjellerasen;139;Norway;club
24063;gjilani;Gjilani;224;Kosovo;club
15623;gjoviklyn;Gjovik-Lyn;139;Norway;club
125;galatasaray;Galatasaray;188;Turkey;club
24396;gladiator;Gladiator;94;Italy;club
22163;gland;Gland;178;Switzerland;club
16674;glasgow-city-w;Glasgow City W;0;;club
17094;glebe-north;Glebe North;92;Ireland;club
17138;gleisdorf;Gleisdorf;13;Austria;club
18666;glacis-united;Glacis United;225;Gibraltar;club
324;glenavon;Glenavon;138;Northern Ireland;club
23122;glengad-united;Glengad United;92;Ireland;club
23924;glengad-utd;Glengad Utd;92;Ireland;club
14803;glenorchy-knights;Glenorchy Knights;12;Australia;club
300;glentoran-fc;Glentoran FC;138;Northern Ireland;club
9188;glenville;Glenville;92;Ireland;club
16025;glentoran-w;Glentoran W;0;;club
13557;global;Global;163;Singapore;club
14859;global-fc;Global FC;0;;club
18627;girls-soccer-academy-w;Girls Soccer Academy W;93;Israel;club
4926;germany-u19;Germany U-19;74;Germany;selection
23605;gloggnitz;Gloggnitz;13;Austria;club
17038;globo;Globo;28;Brasil;club
16942;gloria;Gloria;28;Brasil;club
1062;gloria-bistrita;Gloria Bistrita;151;Romania;club
3448;gloria-buzau;Gloria Buzau;151;Romania;club
22327;gloria-lunca-teuz-cermei;Gloria Lunca Teuz Cermei;151;Romania;club
21308;glossop-north-end;Glossop North End;60;England;club
13832;glyfadas;Glyfadas;76;Greece;club
13416;gloucester-city;Gloucester City;60;England;club
1138;gnistan;Gnistan;68;Finland;club
17116;gnosjo-if;Gnosjo IF;177;Sweden;club
22188;go-ahead-eagles2;Go Ahead Eagles-2;132;Netherlands;club
948;go-ahead-eagles;Go Ahead Eagles;132;Netherlands;club
23232;go-round;Go Round;137;Nigeria;club
7887;goa;Goa;88;India;club
23748;gobelins;Gobelins;69;France;club
21249;godollo;Godollo;86;Hungary;club
3027;godoy-cruz;Godoy Cruz;9;Argentina;club
12578;goianesia;Goianesia;28;Brasil;club
23332;goes;GOES;132;Netherlands;club
22741;goiania;Goiania;28;Brasil;club
436;goias;Goias;28;Brasil;club
21329;gokulam;Gokulam;88;India;club
20551;gol-abrisham;Gol Abrisham;90;Iran;club
16101;gol-gohar;Gol Gohar;90;Iran;club
7981;golcukspor;Golcukspor;188;Turkey;club
14632;golbasispor;Golbasispor;188;Turkey;club
18948;gold-coast-city;Gold Coast City;12;Australia;club
18887;gold-coast-city-u20;Gold Coast City U-20;12;Australia;club
22035;gold-coast-knights;Gold Coast Knights;12;Australia;club
11085;gold-coast-stars;Gold Coast Stars;12;Australia;club
7362;gold-coast-united-fc;Gold Coast United FC;12;Australia;club
6333;golden-arrows-durban;Golden Arrows Durban;168;South Africa;club
22148;goldau;Goldau;178;Switzerland;club
17392;golemo-konjari;Golemo Konjari;65;Rep. of Macedonia;club
14250;golgasispor;Golgasispor;188;Turkey;club
18700;gombe;Gombe;137;Nigeria;club
15184;golling;Golling;13;Austria;club
1110;gomel;Gomel;19;Belarus;club
11209;gomelzheldortrans;Gomelzheldortrans;19;Belarus;club
3321;gondomar;Gondomar;148;Portugal;club
18480;gonsenheim;Gonsenheim;74;Germany;club
18416;goppinger-sv;Goppinger SV;74;Germany;club
16574;gorazde;Gorazde;26;Bosnia and Herzegovina;club
12747;gor-mahia;Gor Mahia;99;Kenya;club
18916;goree;Goree;0;;club
25030;gorelespor;Gorelespor;188;Turkey;club
23492;gornik-konin;Gornik Konin;147;Poland;club
335;gorica;Gorica;165;Slovenia;club
1564;gornik-leczna;Gornik Leczna;147;Poland;club
15342;gornik-leczna-w;Gornik Leczna W;147;Poland;club
1565;gornik-polkowice;Gornik Polkowice;147;Poland;club
15736;gornik-walbrzych;Gornik Walbrzych;147;Poland;club
578;gornik-zabrze;Gornik Zabrze;147;Poland;club
23501;gornik-zabrze2;Gornik Zabrze-2;147;Poland;club
13599;gorno-lisice;Gorno Lisice;65;Rep. of Macedonia;club
15949;gornik-zabrze-u18;Gornik Zabrze U-18;147;Poland;club
13101;gornyak-sport;Gornyak Sport;192;Ukraine;club
9674;gorodeya;Gorodeya;19;Belarus;club
17642;gorstak;Gorstak;216;Montenegro;club
20107;gorzno-w;Gorzno W;147;Poland;club
7359;goslarer-sc;Goslarer SC;74;Germany;club
129;gossau;Gossau;178;Switzerland;club
12318;gosport-borough;Gosport Borough;60;England;club
772;goteborg;Goteborg;177;Sweden;club
18973;goteborg-u21;Goteborg U-21;177;Sweden;club
15860;gotene;Gotene;177;Sweden;club
15330;goteborg-w;Goteborg W;177;Sweden;club
21554;gottne;Gottne;177;Sweden;club
21358;goytacaz;Goytacaz;28;Brasil;club
18746;goytre;Goytre;202;Wales;club
17564;goytre-united;Goytre United;202;Wales;club
394;goztepe;Goztepe;188;Turkey;club
22023;gozzano;Gozzano;94;Italy;club
18922;gpa;GPA;0;;club
20114;goztepe-u21;Goztepe U-21;188;Turkey;club
23511;graficar;Graficar;204;Serbia;club
22093;grad;Grad;165;Slovenia;club
14472;graficar-podgorica;Graficar Podgorica;216;Montenegro;club
21959;grama;Grama;169;Spain;club
19247;gran;Gran;139;Norway;club
24004;gran-tarajal;Gran Tarajal;169;Spain;club
15654;gran-valencia;Gran Valencia;199;Venezuela;club
3496;granada-cf;Granada CF;169;Spain;club
12185;granada2;Granada-2;169;Spain;club
19106;grand-bodo-w;Grand Bodo W;139;Norway;club
22159;grandsaconnex;Grand-Saconnex;178;Switzerland;club
18953;grange-thistle;Grange Thistle;12;Australia;club
20778;granicerul;Granicerul;124;Moldova;club
6447;granit;Granit;19;Belarus;club
18125;granollers;Granollers;169;Spain;club
18043;grantham-town;Grantham Town;60;England;club
16931;granville;Granville;69;France;club
14540;germany-u16;Germany U-16;74;Germany;selection
23243;global-makati;Global Makati;222;Philippines;club
15514;grasshoppers-w;Grasshoppers W;178;Switzerland;club
24358;grassina;Grassina;94;Italy;club
20239;grasrodderne;Grasrodderne;53;Denmark;club
20064;grasse;Grasse;69;France;club
23429;grau;Grau;146;Peru;club
12433;gravelines;Gravelines;69;France;club
24397;gravina;Gravina;94;Italy;club
21206;glenafton-athletic;Glenafton Athletic;159;Scotland;club
6254;grbalj-radanovici;Grbalj Radanovici;216;Montenegro;club
17119;grebbestads;Grebbestads;177;Sweden;club
19965;grecia;Grecia;47;Costa Rica;club
-76;greece;Greece;76;Greece;selection
18597;greece-u16;Greece U-16;76;Greece;selection
5924;greece-u17;Greece U-17;76;Greece;selection
19046;greece-u17-w;Greece U-17 W;76;Greece;selection
1664;greece-u18;Greece U-18;76;Greece;selection
4924;greece-u19;Greece U-19;76;Greece;selection
19280;greece-u19-w;Greece U-19 W;76;Greece;selection
7249;greece-u20;Greece U-20;76;Greece;selection
3924;greece-u21;Greece U-21;76;Greece;selection
15446;green-archers;Green Archers;222;Philippines;club
1790;grays-athletic;Grays Athletic;60;England;club
23249;green-buffaloes-fc;Green Buffaloes FC;206;Zambia;club
23254;green-eagles;Green Eagles;206;Zambia;club
7476;green-gully-cavaliers;Green Gully Cavaliers;12;Australia;club
18860;green-gully-u20;Green Gully U-20;12;Australia;club
24858;green-mamba;Green Mamba;176;Eswatini;club
23834;green-streets;Green Streets;117;Maldives;club
840;greenock-morton;Greenock Morton;159;Scotland;club
22107;greenock-morton-u20;Greenock Morton U-20;159;Scotland;club
23081;greenville;Greenville;194;United States;club
14600;greenwich-borough;Greenwich Borough;60;England;club
22157;greifensee;Greifensee;178;Switzerland;club
437;gremio;Gremio;28;Brasil;club
21806;greifswalder-fc;Greifswalder FC;74;Germany;club
14017;gremio-metropolitano;Gremio Metropolitano;28;Brasil;club
13772;greece-w;Greece W;76;Greece;selection
19054;gremio-osasco-u19;Gremio Osasco U-19;0;;club
-77;grenada;Grenada;77;;selection
23061;gremio-u20;Gremio U-20;28;Brasil;club
713;grenoble;Grenoble;69;France;club
18741;gresford-athletic;Gresford Athletic;202;Wales;club
15451;gresik-united;Gresik United;89;Indonesia;club
1070;gretna;Gretna;159;Scotland;club
15700;greuther-furth-u19;Greuther Furth U-19;74;Germany;club
489;greuther-furth;Greuther Furth;74;Germany;club
7035;greuther-furth2;Greuther Furth-2;74;Germany;club
1674;greve;Greve;53;Denmark;club
11135;greyston;Greyston;92;Ireland;club
19789;griesheim;Griesheim;0;;club
17139;grieskirchen;Grieskirchen;13;Austria;club
2749;grifk;GrIFK;68;Finland;club
337;grazer-ak;Grazer AK;13;Austria;club
460;grimsby;Grimsby;60;England;club
1058;grindavik;Grindavik;87;Iceland;club
19252;grindavik-w;Grindavik W;87;Iceland;club
19183;grobina;Grobina;105;Latvia;club
3644;groene-ster;Groene Ster;132;Netherlands;club
6592;grodig;Grodig;13;Austria;club
18435;grohn;Grohn;74;Germany;club
18428;grolland;Grolland;74;Germany;club
23491;grom-nowy-staw;Grom Nowy Staw;147;Poland;club
23536;grasshoppers2;Grasshoppers-2;178;Switzerland;club
219;groningen;Groningen;132;Netherlands;club
24504;groningen-u19;Groningen U-19;132;Netherlands;club
15997;groningen-u23;Groningen U-23;132;Netherlands;club
23758;groningen2;Groningen-2;132;Netherlands;club
15618;grorud;Grorud;139;Norway;club
7033;grosbardorf;Grosbardorf;74;Germany;club
2348;grosseto;Grosseto;94;Italy;club
7226;grotta-seltjarnarnes;Grotta Seltjarnarnes;87;Iceland;club
24037;groupe-bazano;Groupe Bazano;45;DR Congo;club
17462;grulla-morioka;Grulla Morioka;96;Japan;club
20786;grude;Grude;26;Bosnia and Herzegovina;club
882;giulianova;Giulianova;94;Italy;club
15737;grunwald;Grunwald;147;Poland;club
25020;gryf-95-slupsk;Gryf 95 Slupsk;147;Poland;club
17237;gryf-slupsk-u19;Gryf Slupsk U-19;147;Poland;club
11995;gryf-w;Gryf W;147;Poland;club
6692;guabira;Guabira;25;Bolivia;club
290;grasshoppers;Grasshoppers;178;Switzerland;club
18207;guadalcacin;Guadalcacin;169;Spain;club
23407;guadalajara-w;Guadalajara W;123;Mexico;club
-78;guadalope;Guadalope;0;;club
19966;guadalupe;Guadalupe;47;Costa Rica;club
23624;grimma;Grimma;74;Germany;club
18186;guadix;Guadix;169;Spain;club
23391;guairena;Guairena;145;Paraguay;club
23294;gualaceo;Gualaceo;57;Ecuador;club
24929;guam-u16;Guam U-16;0;;club
-79;guam;Guam;79;;selection
4921;guam-u19;Guam U-19;0;;club
21346;guam-w;Guam W;0;;club
13680;grombalia-sports;Grombalia Sports;187;Tunisia;club
1937;guangzhou-evergrande;Guangzhou Evergrande;41;China;club
22986;guangxi-baoyun;Guangxi Baoyun;41;China;club
12723;guangzou-r-f;Guangzou R F;41;China;club
438;guarani;Guarani;28;Brasil;club
17425;guangzou-rf-u19;Guangzou R-F U-19;85;Hong Kong;club
22887;guangdong-southern-tigers;Guangdong Southern Tigers;41;China;club
13485;guarani-de-palhoca;Guarani de Palhoca;28;Brasil;club
12585;guarani-ec;Guarani EC;28;Brasil;club
14192;guarani-a-franco;Guarani A. Franco;9;Argentina;club
5922;guadalope-u17;Guadalope U-17;0;;club
12586;guarany-de-sobral;Guarany de Sobral;28;Brasil;club
12525;guarani-mg;Guarani MG;28;Brasil;club
7169;guaratingueta;Guaratingueta;28;Brasil;club
24398;grumentum;Grumentum;94;Italy;club
5920;guatemala-u17;Guatemala U-17;0;;club
4920;guatemala-u19;Guatemala U-19;0;;club
11362;guatemala-u20;Guatemala U-20;80;Guatemala;selection
23327;guatemala-u22;Guatemala U-22;0;;club
14100;guastatoya;Guastatoya;80;Guatemala;club
-80;guatemala;Guatemala;80;Guatemala;selection
1691;guadalajara;Guadalajara;123;Mexico;club
9524;gubbio;Gubbio;94;Italy;club
20012;guayaquil-city;Guayaquil City;57;Ecuador;club
1865;guarani-a;Guarani A;145;Paraguay;club
11486;guilermo-brown;Guilermo Brown;9;Argentina;club
12181;guijuelo;Guijuelo;169;Spain;club
14698;guichen;Guichen;69;France;club
17568;guilsfield;Guilsfield;202;Wales;club
20343;guimar;Guimar;169;Spain;club
21818;gudja-united;Gudja United;119;Malta;club
12907;guimaraes2;Guimaraes-2;148;Portugal;club
23978;guimaraes-u23;Guimaraes U-23;148;Portugal;club
15046;guinea-bissau;Guinea Bissau;0;;club
21364;guarani-juazeiro;Guarani Juazeiro;28;Brasil;club
-81;guinea;Guinea;81;;selection
4919;guinea-u19;Guinea U-19;0;;club
19422;guinea-u16;Guinea U-16;0;;club
19297;guinea-u20;Guinea U-20;0;;club
5919;guinea-u17;Guinea U-17;0;;club
170;guingamp;Guingamp;69;France;club
23749;guingamp2;Guingamp-2;69;France;club
17086;guinea-u23;Guinea U-23;0;;club
24603;guingamp-u19;Guingamp U-19;69;France;club
10141;guiseley;Guiseley;60;England;club
15780;guingamp-w;Guingamp W;69;France;club
24494;guatemala-w;Guatemala W;0;;club
15464;guizhou-zhicheng;Guizhou Zhicheng;41;China;club
23011;gumi-w;Gumi W;101;Korea Republic;club
13487;gremio-anapolis;Gremio Anapolis;28;Brasil;club
10943;gulbene-2005;Gulbene 2005;105;Latvia;club
18367;gundelfingen;Gundelfingen;74;Germany;club
6794;gungorenspor;Gungorenspor;188;Turkey;club
14825;gungahlin;Gungahlin;12;Australia;club
17581;gunzwil;Gunzwil;178;Switzerland;club
13643;guria;Guria;73;Georgia;club
15087;gurten;Gurten;13;Austria;club
15912;gute;Gute;177;Sweden;club
6645;gutersloh;Gutersloh;74;Germany;club
5918;guyana-u17;Guyana U-17;0;;club
23716;gullegem;Gullegem;20;Belgium;club
20223;gvi;GVI;53;Denmark;club
7724;gvvv-veenendaal;GVVV Veenendaal;132;Netherlands;club
18459;gw-brieselang;GW Brieselang;74;Germany;club
15733;gwardia-koszalin;Gwardia Koszalin;147;Poland;club
23500;gwarek-tarnowskie-gory;Gwarek Tarnowskie Gory;147;Poland;club
588;guimaraes;Guimaraes;148;Portugal;club
22039;gyeongju-khnp;Gyeongju KHNP;101;Korea Republic;club
19186;gyeongju-w;Gyeongju W;101;Korea Republic;club
6563;gyeongnam-fc;Gyeongnam FC;101;Korea Republic;club
12860;guisborough-town;Guisborough Town;0;;club
16614;gyongyos;Gyongyos;86;Hungary;club
15948;gwarek-zabrze-u18;Gwarek Zabrze U-18;147;Poland;club
558;gyor;Gyor;86;Hungary;club
24509;gyor-u19;Gyor U-19;86;Hungary;club
23753;gyor-w;Gyor W;86;Hungary;club
16615;gyulai-termal;Gyulai Termal;86;Hungary;club
6567;gwangju-sangmu;Gwangju Sangmu;101;Korea Republic;club
3629;gyirmot;Gyirmot;86;Hungary;club
14985;gzira-united;Gzira United;119;Malta;club
-82;guyana;Guyana;82;;selection
7984;gumushanespor;Gumushanespor;188;Turkey;club
6551;guizhou-renhe;Guizhou Renhe;41;China;club
